DATE,TOTAL_ACTIVE_USERS,SWAP_TXNS,MINT_LIQUIDITY_TXNS,BURN_LIQUIDITY_TXNS,INCREASE_LIQUIDITY_TXNS,DECREASE_LIQUIDITY_TXNS,TOTAL_ACTIVE_POOLS,TOTAL_TXN_FEE_ETH,AVG_TXN_FEE_ETH,TOTAL_TXN_FEE_USD,AVG_TXN_FEE_USD,VOLUME_USD,PROTOCOL_FEES_USD
2023-04-17 00:00:00.000,184037,426716,33,4,5677,3362,1962,175.582699313,0.0001944424503,367100.531956887,0.4065316642,411615804,368320
2023-04-18 00:00:00.000,117998,354283,51,9,6513,4590,1992,214.689300711,0.0002923329258,449823.887339202,0.6125052932,500269272,478251
2023-04-19 00:00:00.000,108980,394388,34,2,5666,4209,2126,295.84335804,0.0003966893204,600206.894299338,0.804803145,713794154,636501
2023-04-20 00:00:00.000,137503,392016,16,3,5368,3407,2159,519.412230458,0.0005984873749,1018024.26149921,1.173007935,575853844,483437
2023-04-21 00:00:00.000,116803,358976,36,1,4993,3302,2147,165.355148071,0.0002298530683,316296.431973442,0.4396700449,579810061,484508
2023-04-22 00:00:00.000,112165,299618,11,1,5350,2810,2154,139.32506279,0.000256068942,259566.017897585,0.4770627355,282108401,265969
2023-04-23 00:00:00.000,105776,274496,19,6,4725,3397,2070,109.681440334,0.000234548488,204782.912157673,0.4379184141,274895470,241169
2023-04-24 00:00:00.000,131525,354346,21,0,4282,3160,2134,176.35273011,0.0002878180354,326494.474701375,0.5328581997,299592929,241811
2023-04-25 00:00:00.000,104658,295583,30,2,4440,3130,2056,113.370169396,0.0002212182879,207354.845220457,0.4046098201,311094455,237271
2023-04-26 00:00:00.000,86728,312290,32,1,5674,3704,2141,143.464107837,0.0002702943042,274187.321015632,0.516584059,607742274,432513
2023-04-27 00:00:00.000,74618,278738,21,1,4786,2468,2095,101.07131326,0.0002286045134,191292.633890551,0.4326683613,502843835,328134
2023-04-28 00:00:00.000,72500,220681,27,1,3846,2116,2018,89.517364679,0.0002275572079,170340.292004963,0.4330127611,235590702,177318
2023-04-29 00:00:00.000,85009,241805,14,3,3625,2082,1921,103.075535289,0.0002041940746,196115.70649563,0.3885079528,122693481,112679
2023-04-30 00:00:00.000,119486,343975,30,2,3533,2341,2001,166.982897474,0.0002180303413,318608.348753689,0.4160083941,244210075,208816
2023-05-01 00:00:00.000,89633,282247,54,3,3669,2525,2057,279.296722422,0.0004427476395,516000.411309865,0.8179758147,253331654,246936
2023-05-02 00:00:00.000,79350,286677,19,4,3470,2325,2016,186.415157667,0.000354357651,343696.197866182,0.6533340896,213456946,242980
2023-05-03 00:00:00.000,85662,285273,13,2,4098,3107,2121,234.560310663,0.0004437354062,437727.843165601,0.8280827295,320364733,319040
2023-05-04 00:00:00.000,81659,236697,267,2,4081,2771,2041,255.201648542,0.0005470677797,484529.014481137,1.03866967,192080478,210833
2023-05-05 00:00:00.000,70435,248563,73,11,4175,3390,2138,431.293408574,0.0008983838188,829455.220505067,1.727754549,326904222,361410
2023-05-06 00:00:00.000,92962,304765,43,1,4168,3159,2321,658.179354501,0.0009878909091,1281976.52681057,1.924176059,305354522,419606
2023-05-07 00:00:00.000,70151,231447,43,1,3263,2342,2244,526.674227775,0.001028580243,1005975.57342648,1.964642554,219492213,305036
2023-05-08 00:00:00.000,60699,236528,38,3,3681,3536,2310,463.638302281,0.0009320711787,866306.22732533,1.741571096,331614394,357883
2023-05-09 00:00:00.000,81447,236791,17,1,3327,2687,2216,191.306947221,0.0004851984276,352925.486413378,0.8951002227,194318564,248192
2023-05-10 00:00:00.000,76481,257678,29,4,3231,2433,2116,358.280236108,0.0007600699144,664747.563912861,1.410221868,391116041,366361
2023-05-11 00:00:00.000,83299,236816,22,5,3097,2403,2154,250.428634179,0.0006378868445,455387.418038596,1.159953789,261796234,244001
2023-05-12 00:00:00.000,71712,249697,27,0,3384,2414,2181,205.339087509,0.0004831451101,364271.180142488,0.8570985756,293835629,265172
2023-05-13 00:00:00.000,67070,182989,31,0,2666,1549,2031,156.204875584,0.0004916540261,281106.301555885,0.8847806088,136241311,128093
2023-05-14 00:00:00.000,61332,172263,43,0,2224,1342,1897,63.074690637,0.0002366345049,113816.175587085,0.4269990718,131960026,120816
2023-05-15 00:00:00.000,57317,179440,51,3,2654,1736,1965,534.042164707,0.001736942782,975678.026963256,3.173339145,213293643,172213
2023-05-16 00:00:00.000,60832,175702,33,4,2267,1443,1925,89.314599407,0.0003291660502,162374.077823775,0.5984243809,184223215,144742
2023-05-17 00:00:00.000,60241,189353,49,3,2552,1646,1936,107.573857388,0.0003393026122,194916.551072569,0.6147933759,203486290,184181
2023-05-18 00:00:00.000,60102,177638,23,4,2419,1555,1872,101.49907311,0.0003364729132,184367.892692092,0.6111858962,191034346,163046
2023-05-19 00:00:00.000,55810,152095,16,5,2073,1288,1834,66.682991558,0.000280297231,120704.066949038,0.5073709944,148312082,115946
2023-05-20 00:00:00.000,60219,152690,35,1,1971,1193,1806,54.8403106,0.0002221487651,99524.550146756,0.4031570148,66836402,66352
2023-05-21 00:00:00.000,61711,154714,23,0,2435,1398,1777,52.322061591,0.0002129267385,94913.687388224,0.3862550763,98659469,109402
2023-05-22 00:00:00.000,58856,155658,17,1,2291,1469,1782,97.553679992,0.0003769316487,176473.850908729,0.6818664306,123800379,120557
2023-05-23 00:00:00.000,66469,175615,27,1,2586,1878,1889,81.670183823,0.0003001587115,151041.934528046,0.5551175513,164262321,144311
2023-05-24 00:00:00.000,74385,210026,25,0,2835,2077,1936,113.658777759,0.0003402845348,207299.263538429,0.6206360376,176822186,160281
2023-05-25 00:00:00.000,73623,266381,11,2,2589,1752,1925,156.044469466,0.0003939193894,280217.009541027,0.7073811309,168344446,140104
2023-05-26 00:00:00.000,71056,212069,13,1,2340,1576,1896,68.472045496,0.0002237524239,124300.986128642,0.4061898069,135260171,125976
2023-05-27 00:00:00.000,68496,173545,13,5,1843,1158,1792,58.84945151,0.0002252239881,107647.50628718,0.4119800618,86325112,84232
2023-05-28 00:00:00.000,63018,181954,16,1,2339,1634,1869,55.803224884,0.0002052215378,103035.04570696,0.3789209417,208678316,163113
2023-05-29 00:00:00.000,70041,207909,18,2,2974,2159,1952,119.244914812,0.0003721646858,226290.253061328,0.7062543595,189411437,186439
2023-05-30 00:00:00.000,66591,187452,29,2,2372,1788,1887,85.274622517,0.0002997635013,162331.253656378,0.5706385269,171386385,160326
2023-05-31 00:00:00.000,72963,200080,23,3,2448,1789,1880,77.782824883,0.0002486496267,145768.716226113,0.465981236,168550255,144399
2023-06-01 00:00:00.000,59079,166906,25,1,2202,1569,1867,64.043037667,0.0002503597976,119414.212696457,0.4668191768,172068078,125664
2023-06-02 00:00:00.000,61185,180697,16,2,2645,1748,1906,58.395314201,0.0002175317633,110239.609262005,0.4106599462,198396648,165737
2023-06-03 00:00:00.000,61502,160729,21,3,2284,1277,1878,44.015835548,0.000186495134,83675.194113861,0.3545318712,99646337,118296
2023-06-04 00:00:00.000,64389,170939,15,2,2259,1386,1803,41.658653883,0.0001642788567,79172.395328669,0.3122124547,98678811,109343
2023-06-05 00:00:00.000,60807,217114,13,1,3360,2563,1944,104.537069121,0.0002970680801,194489.887902768,0.5526913858,319620509,282400
2023-06-06 00:00:00.000,53535,183807,4,3,2937,2012,1913,49.641288969,0.0001729625477,90632.701269934,0.3157867824,262805891,216912
2023-06-07 00:00:00.000,55865,184469,8,2,2790,1880,2046,47.542933723,0.0001622088719,88613.135266906,0.3023338187,244063239,178666
